EVCount,StationCount,TotalChargers,EVsPerCharger,CoverageGapFlag,StationKey,CalendarKey,GeographyKey,VehicleKey,ZipCode,City,County,State,Latitude,Longitude
22,0,0,0.0,1,0,1,174,1,98323,Carbonado,Pierce,WA,,
45,1,2,22.5,1,2327,1,175,1,98325,Chimacum,Jefferson,WA,,
4,0,0,0.0,1,0,1,176,1,98326,Clallam Bay,Clallam,WA,,
281,3,7,40.14,1,568,1,177,1,98327,Dupont,Pierce,WA,,
233,0,0,0.0,1,0,1,178,1,98328,Eatonville,Pierce,WA,,
383,0,0,0.0,1,0,1,179,1,98329,Gig Harbor,Pierce,WA,,
4,2,2,2.0,0,2061,1,180,1,98330,Elbe,Pierce,WA,,
27,12,26,1.04,0,336,1,181,1,98331,Forks,Clallam,WA,,
1185,1,2,592.5,1,206,1,182,1,98332,Gig Harbor,Pierce,WA,,
321,0,0,0.0,1,0,1,183,1,98333,Fox Island,Pierce,WA,,
1508,8,17,88.71,1,203,1,184,1,98335,Artondale,Pierce,WA,,
9,0,0,0.0,1,0,1,185,1,98336,Glenoma,Lewis,WA,,
156,7,19,8.21,0,81,1,186,1,98337,Bremerton,Kitsap,WA,,
648,0,0,0.0,1,0,1,187,1,98338,Graham,Pierce,WA,,
88,1,2,44.0,1,442,1,188,1,98339,Port Hadlock,Jefferson,WA,,
123,0,0,0.0,1,0,1,189,1,98340,Hansville,Kitsap,WA,,
75,0,0,0.0,1,0,1,190,1,98342,Indianola,Kitsap,WA,,
6,0,0,0.0,1,0,1,191,1,98344,Kapowsin,Pierce,WA,,
18,2,26,0.69,0,445,1,192,1,98345,Keyport,Kitsap,WA,,
415,3,10,41.5,1,173,1,193,1,98346,Kingston,Kitsap,WA,,
146,0,0,0.0,1,0,1,194,1,98349,Lakebay,Pierce,WA,,
32,0,0,0.0,1,0,1,195,1,98351,Longbranch,Pierce,WA,,
175,0,0,0.0,1,0,1,196,1,98354,Milton,King,WA,,
